command,intent
give me the topics that are related to repository,repository_topics
To which topics does the repository belong,repository_topics
what topics are related to our repository?,repository_topics
I want to know when was the repository created?,repository_creation_date
When did I start the project?,repository_creation_date
repository creation date,repository_creation_date
when did this repository start,repository_creation_date
I would like to know the date that we start this project,repository_creation_date
give me the repository creation date,repository_creation_date
who created the file index.js?,file_creator
who created file readme.md in the repository?,file_creator
creator of file server.json,file_creator
for file map.json who created it?,file_creator
tell me the developer name who created file gitignore,file_creator
which developer created file main.py?,file_creator
who created map.json?,file_creator
who created this file index.js,file_creator
show me the linked commits to issue 84161,issue_related_commits
issue 13 related commits?,issue_related_commits
in which commits was issue 964?,issue_related_commits
commits related to issue 3234,issue_related_commits
show me commits linked to this issue 3234?,issue_related_commits
give me the commits that mentioned issue 888?,issue_related_commits
commits that mentioned issue 6744,issue_related_commits
let me know the names of all branches,list_branches
name all the branches in the repository,list_branches
what branches do we have?,list_branches
what branches are available right now?,list_branches
name all the branches,list_branches
give me a list of the names of all branches in the repo?,list_branches
what are the available branches?,list_branches
list all the branches names,list_branches
how many branches in the repository?,number_of_branches
let me know how many branches are in the repository,number_of_branches
How many branches?,number_of_branches
how many branches do I have,number_of_branches
count for me the number of forks that I have,number_of_forks
In this repository, how many forks do I have?,number_of_forks
how many forks do we have?,number_of_forks
count for me the number of forks,number_of_forks
forks count?,number_of_forks
how many forks in total does the repository have?,number_of_forks
let me know how many forks are in the repository,number_of_forks
give the number of forks I have in repository,number_of_forks
please let me know the number of forks in the repo,number_of_forks
number of forks?,number_of_forks
please let me know the number of subscribers in the repo,number_of_subscribers
How many subscribers?,number_of_subscribers
give me the subscriber count in my repoisotry,number_of_subscribers
number of subscribers?,number_of_subscribers
let me know how many subscribers are in the repository,number_of_subscribers
how many subscribers in total?,number_of_subscribers
subscribers count,number_of_subscribers
count for me the number of subscribers,number_of_subscribers
provide me with the total number of subscribers,number_of_subscribers
in this repository what is the total count of subscribers,number_of_subscribers
provide me with the total number of stars,number_of_stars
what is the number of stars that we have?,number_of_stars
count for me the number of stars that I have,number_of_stars
stars count,number_of_stars
In this repository, how many stars do I have?,number_of_stars
How many stars?,number_of_stars
give me a count of all the stars,number_of_stars
let me know how many stars are in the repository,number_of_stars
give the number of stars I have in repository,number_of_stars
how many stars do I have?,number_of_stars
who collaborated on repository?,list_collaborators
please give me the names of the repository collaborators,list_collaborators
list who worked on this project,list_collaborators
Who committed in this repository?,list_collaborators
who has worked on our project?,list_collaborators
who collaborated in the repository?,list_collaborators
give me all the contributors?,list_collaborators
list the names of all the contributors?,list_collaborators
give me the name of people who worked on this project?,list_collaborators
give me a list of all the collaborators to the repository,list_collaborators
who contributed to my repository?,list_collaborators
give me a count of all the downloads,number_of_downloads
total number of downloads?,number_of_downloads
how many downloads do I have?,number_of_downloads
count all the downloads for me,number_of_downloads
what is the number of downloads that we have in repository?,number_of_downloads
how many downloads for the repository?,number_of_downloads
provide me with the total number of downloads,number_of_downloads
how many downloads do we have?,number_of_downloads
how many downloads in total does the repository have?,number_of_downloads
How many downloads?,number_of_downloads
count the repository downloads,number_of_downloads
