command,intent
show me the linked commits to issue 84161,issue_related_commits
what commits were mentioned issue 74?,issue_related_commits
what are the branches in the repository,list_branches
what branches do I have in repository?,list_branches
list all branches please,list_branches
I want to know what are the branches in the repository right now,list_branches
list the names of branches,list_branches
list all the branches names,list_branches
give me a list of all the branches in the repository,list_branches
list branches,list_branches
let me know the names of all branches,list_branches
provide me with the total number of branches,number_of_branches
count for me the number of branches,number_of_branches
number of branches,number_of_branches
give me a count of all the branches,number_of_branches
total number of branches?,number_of_branches
count the repository branches,number_of_branches
how many branches in total?,number_of_branches
what is the number of branches that we have?,number_of_branches
in this repository what is the total count of branches,number_of_branches
count for me the number of branches that I have,number_of_branches
I would like to know how many branches are there in total?,number_of_branches
how many commits in total does the repository have?,number_of_commits
give me a count of all the commits,number_of_commits
give me the commit count in my repoisotry,number_of_commits
how many commits in the repository?,number_of_commits
give the number of commits I have in repository,number_of_commits
number of commits,number_of_commits
please let me know the number of commits in the repo,number_of_commits
let me know how many commits are in the repository,number_of_commits
in this repository what is the total count of commits,number_of_commits
count the repository commits,number_of_commits
I would like to know how many commits are there in total?,number_of_commits
how many commits do I have?,number_of_commits
how many forks do I have?,number_of_forks
how many forks in the repository?,number_of_forks
total number of forks?,number_of_forks
let me know how many forks are in the repository,number_of_forks
I would like to know how many forks are there in total?,number_of_forks
In this repository, how many forks do I have?,number_of_forks
forks count,number_of_forks
how many forks in total does the repository have?,number_of_forks
How many forks?,number_of_forks
count the repository forks,number_of_forks
number of forks?,number_of_forks
subscribers count?,number_of_subscribers
how many subscribers do we have?,number_of_subscribers
count for me the number of subscribers that I have,number_of_subscribers
how many subscribers do I have,number_of_subscribers
How many subscribers?,number_of_subscribers
count all the subscribers for me,number_of_subscribers
how many subscribers in total?,number_of_subscribers
give me a count of all the subscribers,number_of_subscribers
how many subscribers do I have?,number_of_subscribers
how many subscribers in the repository?,number_of_subscribers
I want to know the number of subscribers in the repository,number_of_subscribers
total number of subscribers?,number_of_subscribers
how many stars do I have?,number_of_stars
please let me know the number of stars in the repo,number_of_stars
provide me with the total number of stars,number_of_stars
stars count?,number_of_stars
stars count,number_of_stars
what is the number of stars that we have?,number_of_stars
number of stars?,number_of_stars
how many stars in total does the repository have?,number_of_stars
count all the stars for me,number_of_stars
How many stars?,number_of_stars
I would like to know how many stars are there in total?,number_of_stars
count for me the number of stars,number_of_stars
Who committed in this repository?,list_collaborators
Who are the repository collaborators?,list_collaborators
give me all the collaborators?,list_collaborators
give me a list of all the contributors to the repository,list_collaborators
list all the workers on this repository,list_collaborators
Who are the repository contributors?,list_collaborators
who collaborated in the repository?,list_collaborators
who are the contributors?,list_collaborators
list all the contributors,list_collaborators
who are the collaborators?,list_collaborators
I want to know the people who added to the repository,list_collaborators
please give me the names of the repository collaborators,list_collaborators
what is the number of downloads that we have?,number_of_downloads
How many downloads?,number_of_downloads
how many downloads in total?,number_of_downloads
count for me the number of downloads,number_of_downloads
please let me know the number of downloads in the repo,number_of_downloads
total number of downloads?,number_of_downloads
how many downloads for the repository?,number_of_downloads
give the number of downloads I have in repository,number_of_downloads
I want to know the number of downloads for the repository,number_of_downloads
count all the downloads for me,number_of_downloads
give me the download count in my repoisotry,number_of_downloads
downloads count?,number_of_downloads
give me a count of all the downloads,number_of_downloads
