command,intent
Who are the repository collaborators?,list_collaborators
who collaborated in the repository?,list_collaborators
Who committed in this repository?,list_collaborators
Who are the repository contributors?,list_collaborators
list the names of all the contributors?,list_collaborators
list me all the people who helped in this project?,list_collaborators
let me know who contributed to the repository,list_collaborators
give me all the collaborators?,list_collaborators
who worked on this repository?,list_collaborators
give me all the contributors?,list_collaborators
who contributed to our project?,list_collaborators
give the number of downloads I have in repository,number_of_downloads
how many downloads in total does the repository have?,number_of_downloads
how many downloads do I have,number_of_downloads
what is the number of downloads that we have in repository?,number_of_downloads
number of downloads?,number_of_downloads
give me the download count in my repoisotry,number_of_downloads
please let me know the number of downloads in the repo,number_of_downloads
count the repository downloads,number_of_downloads
how many downloads for the repository?,number_of_downloads
How many downloads?,number_of_downloads
count all the downloads for me,number_of_downloads
how many downloads in total?,number_of_downloads
how many downloads do we have?,number_of_downloads
I want to know the number of downloads for the repository,number_of_downloads
