command
I want a list of repository releases,list_releases
when was this repository created?,repository_creation_date
project creation date,repository_creation_date
when was our repo created?,repository_creation_date
When did I start the project?,repository_creation_date
When did this project start?,repository_creation_date
name the developer who created file users.db,file_creator
for file map.json who created it?,file_creator
developer who created constant.txt,file_creator
who created this file index.js,file_creator
who created map.json?,file_creator
who first added this file domain.yml ?,file_creator
tell me the developer name who created file gitignore,file_creator
what commits are related to 3234?,issue_related_commits
give me a the commits linked to issue 564,issue_related_commits
give me a list of all the commits where issue 1235 was mentioned,issue_related_commits
show me the linked commits to issue 84161,issue_related_commits
give me the commits that mentioned issue 888?,issue_related_commits
show me commits related to this issue 3234?,issue_related_commits
give me a list of the names of all branches in the repo?,list_branches
what are the names of all the branches,list_branches
let me know the names of all branches,list_branches
list all branches please,list_branches
Give me a list of the branches,list_branches
what branches do I have,list_branches
give me the branches that we have,list_branches
number of branches,number_of_branches
total number of branches?,number_of_branches
how many branches in total?,number_of_branches
provide me with the total number of branches,number_of_branches
number of branches?,number_of_branches
How many branches?,number_of_branches
how many branches,number_of_branches
count for me the number of branches,number_of_branches
give the number of commits I have in repository,number_of_commits
count for me the number of commits,number_of_commits
"In this repository, how many commits do I have?",number_of_commits
please let me know the number of commits in the repo,number_of_commits
I want to know the number of commits in the repository,number_of_commits
provide me with the total number of commits,number_of_commits
how many commits in total?,number_of_commits
number of commits,number_of_commits
how many commits in the repository?,number_of_commits
count for me the number of forks that I have,number_of_forks
How many forks?,number_of_forks
count for me the number of forks,number_of_forks
forks count,number_of_forks
forks count?,number_of_forks
I want to know the number of forks in the repository,number_of_forks
let me know how many forks are in the repository,number_of_forks
how many forks in the repository?,number_of_forks
total number of stars?,number_of_stars
how many stars do I have?,number_of_stars
stars count?,number_of_stars
count for me the number of stars that I have,number_of_stars
"In this repository, how many stars do I have?",number_of_stars
How many stars?,number_of_stars
I want to know the number of stars in the repository,number_of_stars
count for me the number of stars,number_of_stars
what is the number of stars that we have?,number_of_stars
how many subscribers do I have?,number_of_subscribers
how many subscribers in total?,number_of_subscribers
subscribers count,number_of_subscribers
give the number of subscribers I have in repository,number_of_subscribers
how many subscribers in the repository?,number_of_subscribers
number of subscribers?,number_of_subscribers
subscribers count?,number_of_subscribers
how many subscribers do we have?,number_of_subscribers
provide me with the total number of subscribers,number_of_subscribers
Who committed in this repository?,list_collaborators
tell me all the people who contributed to my project,list_collaborators
Who are the repository collaborators?,list_collaborators
list all the contributors,list_collaborators
list the names of all the collaborators?,list_collaborators
who are the collaborators?,list_collaborators
give me all the contributors?,list_collaborators
give me all the collaborators?,list_collaborators
give me a list of all the collaborators to the repository,list_collaborators
number of downloads?,number_of_downloads
how many downloads do I have,number_of_downloads
how many downloads in total?,number_of_downloads
total number of downloads?,number_of_downloads
provide me with the total number of downloads,number_of_downloads
how many downloads,number_of_downloads
what is the number of downloads,number_of_downloads
what is the number of downloads that we have?,number_of_downloads
give the number of downloads I have in repository,number_of_downloads
give me a count of all the downloads,number_of_downloads
